time,n_epi,eff,effmax_episode,effmax_overall,episode_length,n_buffer,epsilon [%],count
2022_09_06 09:23:30,50,0.04849700798911599,0.3903124321722466,0.45818695439840107,128,6400,84.24090000000001,6400
2022_09_06 09:55:18,100,0.41117346456885145,0.2972221931294823,0.4772465697080137,128,12800,78.48089999999999,12800
2022_09_06 10:27:15,150,0.38547784010849423,0.4335787380892515,0.4772465697080137,128,19200,72.7209,19200
2022_09_06 10:59:22,200,0.5076627713600347,0.2386193009118561,0.47929474316194404,128,25600,66.96090000000001,25600
2022_09_06 11:31:24,250,0.49064227206915234,0.2848509172257916,0.5005843979148564,128,32000,61.200900000000004,32000
2022_09_06 12:04:13,300,0.5124051368393308,0.32932476945549155,0.5005843979148564,128,38400,55.44089999999999,38400
