time,n_epi,eff,effmax_episode,effmax_overall,episode_length,n_buffer,epsilon [%],count
2022_09_03 20:19:09,50,0.02552387588217992,0.44303117990722707,0.44303117990722707,128,6400,84.24090000000001,6400
2022_09_03 20:30:43,100,0.0059088820623898735,0.1333676334713593,0.44303117990722707,128,12800,78.48089999999999,12800
2022_09_03 20:42:17,150,0.05664186494530291,0.19524175920888867,0.44303117990722707,128,19200,72.7209,19200
2022_09_03 20:53:51,200,0.028435552928954187,0.2053116512494462,0.44303117990722707,128,25600,66.96090000000001,25600
2022_09_03 21:05:26,250,0.005908882062388568,0.08234158275985336,0.44303117990722707,128,32000,61.200900000000004,32000
2022_09_03 21:16:57,300,0.018006637781402754,0.15336677008865374,0.44303117990722707,128,38400,55.44089999999999,38400
2022_09_03 21:28:19,350,0.015923011837929237,0.20114692068921186,0.44303117990722707,128,44800,49.6809,44800
2022_09_03 21:39:35,400,0.005908882062391399,0.2798779051275457,0.44303117990722707,128,51200,43.92090000000001,51200
2022_09_03 21:50:46,450,0.14467727755610743,0.20218010024497068,0.48954830211928185,128,57600,38.160900000000005,57600
2022_09_03 22:01:48,500,0.10433320852742684,0.31854855964822365,0.5008462070183319,128,64000,32.40090000000001,64000
2022_09_03 22:12:39,550,0.07120610408796696,0.053819414746203095,0.5663974912842522,128,70400,26.640900000000002,70400
2022_09_03 22:23:17,600,0.06242349973801437,0.37117275496102137,0.5663974912842522,128,76800,20.880900000000004,76800
2022_09_03 22:33:39,650,0.14864935756222705,0.4092943134937357,0.5663974912842522,128,83200,15.1209,83200
2022_09_03 22:43:52,700,0.03275972890549562,0.2591986229499919,0.5663974912842522,128,89600,9.360900000000004,89600
2022_09_03 22:53:46,750,0.11644485392485866,0.3304959393986402,0.5663974912842522,128,96000,3.6008999999999993,96000
2022_09_03 23:03:23,800,0.08063289250935561,0.5347566953855156,0.6011019114643927,128,100000,1.0,102400
2022_09_03 23:12:59,850,0.09849707987551802,0.41006426213065156,0.6011019114643927,128,100000,1.0,108800
2022_09_03 23:22:44,900,0.12443514982097938,0.20827970421776676,0.6332586545632186,128,100000,1.0,115200
2022_09_03 23:32:27,950,0.11337621700164156,0.36717143967683974,0.6727715886205748,128,100000,1.0,121600
2022_09_03 23:42:18,1000,0.20735117934289093,0.3941026824356729,0.6727715886205748,128,100000,1.0,128000
2022_09_03 23:52:08,1050,0.14266597593119554,0.09357771882500907,0.6727715886205748,128,100000,1.0,134400
2022_09_04 00:02:07,1100,0.1286935110793873,0.565451402454629,0.6727715886205748,128,100000,1.0,140800
2022_09_04 00:12:01,1150,0.09454807632628796,0.3629408575633858,0.7042880733763719,128,100000,1.0,147200
2022_09_04 00:21:51,1200,0.02926548872572649,0.2754740295507206,0.7042880733763719,128,100000,1.0,153600
2022_09_04 00:31:43,1250,0.06002118118705061,0.14649336958224396,0.7985679207750837,128,100000,1.0,160000
2022_09_04 00:41:33,1300,0.03950526206764517,0.35358722656920677,0.7985679207750837,128,100000,1.0,166400
2022_09_04 00:51:30,1350,0.06025459085830191,0.38251050365090183,0.7985679207750837,128,100000,1.0,172800
2022_09_04 01:01:19,1400,0.2831364639888094,0.24979763754728931,0.7985679207750837,128,100000,1.0,179200
2022_09_04 01:11:17,1450,0.08905696297240986,0.3421415966954216,0.7985679207750837,128,100000,1.0,185600
2022_09_04 01:21:21,1500,0.15722054836915533,0.2998047315108022,0.7985679207750837,128,100000,1.0,192000
2022_09_04 01:31:21,1550,0.19362742204079503,0.5674251306486093,0.7985679207750837,128,100000,1.0,198400
