time,n_epi,eff,effmax_episode,effmax_overall,episode_length,n_buffer,epsilon [%],count
2022_09_06 12:59:44,50,0.25840977014011846,0.38005002161712037,0.38005002161712037,128,6400,84.24090000000001,6400
2022_09_06 13:31:49,100,0.42662355609835717,0.3797406165841594,0.4215777022318261,128,12800,78.48089999999999,12800
2022_09_06 14:03:57,150,0.5435256592433146,0.11798521393541431,0.5114845611524899,128,19200,72.7209,19200
2022_09_06 14:36:18,200,0.45902496844973234,0.261370265484143,0.5271079289484343,128,25600,66.96090000000001,25600
2022_09_06 15:08:28,250,0.5860128422939015,0.6034040462820823,0.6211798763959142,128,32000,61.200900000000004,32000
2022_09_06 15:40:49,300,0.6269362613796831,0.5636609027093916,0.6910979974682717,128,38400,55.44089999999999,38400
